11 30 Move(dir='c', i=3, n=1) Move(dir='c', i=4, n=4) Move(dir='r', i=4, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=4) Move(dir='r', i=1, n=4) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=1, n=4) Move(dir='c', i=2, n=4) Move(dir='r', i=0, n=2) Move(dir='r', i=4, n=3) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=4) Move(dir='r', i=1, n=3) Move(dir='r', i=4, n=1) Move(dir='c', i=4, n=3) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=1) 
12 33 Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=4, n=4) Move(dir='c', i=1, n=4) Move(dir='c', i=0, n=2) Move(dir='c', i=4, n=4) Move(dir='c', i=2, n=1) Move(dir='c', i=1, n=4) Move(dir='c', i=3, n=4) Move(dir='r', i=4, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=4) Move(dir='r', i=4, n=3) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=4) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=1) 
13 42 Move(dir='r', i=1, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=4, n=4) Move(dir='c', i=1, n=3) Move(dir='c', i=4, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=4) Move(dir='c', i=1, n=2) Move(dir='c', i=4, n=3) Move(dir='c', i=3, n=4) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=4) Move(dir='r', i=3, n=4) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=1) Move(dir='r', i=3, n=4) 
14 30 Move(dir='r', i=2, n=1) Move(dir='c', i=2, n=4) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=4) Move(dir='c', i=1, n=4) Move(dir='c', i=1, n=4) Move(dir='r', i=0, n=4) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=4) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=4) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=4, n=2) Move(dir='c', i=1, n=4) Move(dir='c', i=4, n=4) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=4) Move(dir='r', i=1, n=2) 
15 24 Move(dir='c', i=0, n=1) Move(dir='r', i=4, n=2) Move(dir='c', i=2, n=2) Move(dir='c', i=4, n=2) Move(dir='r', i=4, n=4) Move(dir='c', i=3, n=4) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=4, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=4) Move(dir='c', i=4, n=1) Move(dir='c', i=2, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=4, n=3) Move(dir='c', i=0, n=4) Move(dir='r', i=0, n=1) 
16 31 Move(dir='c', i=3, n=4) Move(dir='c', i=2, n=2) Move(dir='c', i=2, n=4) Move(dir='c', i=0, n=4) Move(dir='c', i=2, n=4) Move(dir='c', i=1, n=1) Move(dir='c', i=4, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=4) Move(dir='c', i=4, n=2) Move(dir='r', i=3, n=4) Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=4) Move(dir='c', i=4, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=2, n=4) 
17 32 Move(dir='c', i=3, n=4) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=4, n=1) Move(dir='c', i=4, n=4) Move(dir='c', i=2, n=4) Move(dir='r', i=3, n=4) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=3) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=3) Move(dir='c', i=4, n=4) Move(dir='r', i=2, n=4) Move(dir='c', i=4, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=2) 
18 35 Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=4) Move(dir='r', i=3, n=4) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=4) Move(dir='r', i=1, n=4) Move(dir='c', i=2, n=4) Move(dir='r', i=3, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=1, n=4) Move(dir='c', i=0, n=4) Move(dir='r', i=2, n=1) Move(dir='c', i=4, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=4) Move(dir='c', i=4, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=4) 
19 34 Move(dir='c', i=0, n=1) Move(dir='r', i=4, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=1) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=2, n=4) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=4, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=4) Move(dir='r', i=1, n=2) Move(dir='r', i=2, n=4) Move(dir='c', i=4, n=1) 
20 37 Move(dir='r', i=1, n=4) Move(dir='r', i=4, n=1) Move(dir='r', i=4, n=2) Move(dir='c', i=1, n=4) Move(dir='c', i=0, n=4) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=4, n=4) Move(dir='r', i=2, n=2) Move(dir='c', i=4, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=4, n=4) Move(dir='r', i=4, n=4) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=4) Move(dir='c', i=0, n=3) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=2) 
21 36 Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=1, n=2) Move(dir='c', i=1, n=4) Move(dir='c', i=2, n=1) Move(dir='r', i=3, n=3) Move(dir='c', i=4, n=3) Move(dir='c', i=4, n=4) Move(dir='c', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=4) Move(dir='r', i=1, n=4) Move(dir='c', i=3, n=4) Move(dir='c', i=3, n=4) Move(dir='r', i=2, n=4) Move(dir='c', i=4, n=1) Move(dir='c', i=4, n=1) Move(dir='c', i=3, n=2) 
22 35 Move(dir='r', i=4, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=4) Move(dir='r', i=0, n=4) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=1, n=4) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=0, n=4) Move(dir='r', i=4, n=4) Move(dir='c', i=1, n=4) Move(dir='r', i=2, n=3) Move(dir='r', i=4, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=2, n=3) 
23 30 Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=4, n=1) Move(dir='c', i=2, n=4) Move(dir='r', i=4, n=4) Move(dir='r', i=1, n=4) Move(dir='c', i=1, n=3) Move(dir='c', i=0, n=2) Move(dir='c', i=4, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=4) Move(dir='c', i=0, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=2) 
24 38 Move(dir='r', i=0, n=4) Move(dir='r', i=2, n=3) Move(dir='c', i=4, n=3) Move(dir='c', i=4, n=4) Move(dir='r', i=3, n=2) Move(dir='r', i=4, n=4) Move(dir='c', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=4) Move(dir='r', i=0, n=4) Move(dir='r', i=1, n=4) Move(dir='r', i=4, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=1, n=1) Move(dir='c', i=4, n=1) Move(dir='r', i=4, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=2, n=2) Move(dir='c', i=1, n=4) 
25 27 Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='r', i=4, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=3, n=4) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=2, n=3) Move(dir='r', i=4, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=2, n=2) Move(dir='c', i=4, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=4, n=1) Move(dir='r', i=3, n=1) 
26 32 Move(dir='r', i=1, n=1) Move(dir='c', i=4, n=2) Move(dir='c', i=2, n=1) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=1) Move(dir='c', i=2, n=4) Move(dir='r', i=0, n=4) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=4, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=4, n=1) Move(dir='r', i=1, n=1) 
27 36 Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=4, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=4) Move(dir='c', i=0, n=4) Move(dir='c', i=3, n=3) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=4) Move(dir='c', i=4, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=4, n=4) Move(dir='r', i=4, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=2, n=4) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=1) 
28 40 Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=4, n=1) Move(dir='r', i=1, n=4) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='c', i=0, n=4) Move(dir='r', i=0, n=1) Move(dir='c', i=2, n=3) Move(dir='c', i=4, n=4) Move(dir='r', i=2, n=2) Move(dir='r', i=4, n=2) Move(dir='r', i=4, n=4) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=4, n=2) Move(dir='r', i=3, n=2) 
