21 53 Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=1) Move(dir='c', i=0, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=3) Move(dir='c', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=1) Move(dir='c', i=1, n=3) 
22 56 Move(dir='r', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='c', i=1, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=3) 
23 46 Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=3) Move(dir='c', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=2) 
24 51 Move(dir='r', i=2, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=3) 
25 50 Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=1) 
26 54 Move(dir='r', i=0, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=2, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) 
27 55 Move(dir='r', i=1, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=2) 
28 55 Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=3) 
29 59 Move(dir='c', i=0, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=1) Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=2) Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=2) 
30 64 Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=1, n=1) Move(dir='c', i=2, n=2) 
