11 50 Move(dir='c', i=1, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=1, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=2, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=2) 
12 49 Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=2, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=1, n=2) 
13 48 Move(dir='r', i=2, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=1, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=3) 
14 48 Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=1) 
15 47 Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=1, n=1) 
16 48 Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=1, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=2) Move(dir='c', i=1, n=2) 
17 60 Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=2, n=1) 
18 47 Move(dir='r', i=2, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=1) Move(dir='r', i=2, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=3) 
19 52 Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=3) Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=3) 
20 47 Move(dir='r', i=3, n=1) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=3, n=3) 
